Id_Cliente;Codigo_Cliente;Nombre_Compañía;Id_Contacto;Direccion;Id_Lugar;Codigo_postal;Telefono;Fax
1;ALFKI;Alfreds Futterkiste;30;Obere Str. 57;101;12209;030-0074321;030-0076545
2;ANATR;Ana Trujillo Emparedados y helados;31;Avda. de la Constitución 2222;2101;5021;(5) 555-4729;(5) 555-3745
3;ANTON;Antonio Moreno Taquería;32;Mataderos  2312;2101;5023;(5) 555-3932;
4;AROUT;Around the Horn;33;120 Hanover Sq.;1401;WA1 1DP;(71) 555-7788;(71) 555-6750
5;BERGS;Berglunds snabbköp;34;Berguvsvägen  8;1604;S-958 22;0921-12 34 65;0921-12 34 67
6;BLAUS;Blauer See Delikatessen;35;Forsterstr. 57;109;68306;0621-08460;0621-08924
7;BLONP;Blondel père et fils;36;24, place Kléber;912;67000;88.60.15.31;88.60.15.32
8;BOLID;Bólido Comidas preparadas;37;C/ Araquil, 67;603;28023;(91) 555 22 82;(91) 555 91 99
9;BONAP;Bon app';38;12, rue des Bouchers;906;13008;91.24.45.40;91.24.45.41
10;BOTTM;Bottom-Dollar Markets;39;23 Tsawassen Blvd.;402;T2F 8M4;(604) 555-4729;(604) 555-3745
11;BSBEV;B's Beverages;40;Fauntleroy Circus;1401;EC2 5NT;(71) 555-1212;
12;CACTU;Cactus Comidas para llevar;41;Cerrito 333;1701;1010;(1) 135-5555;(1) 135-4892
13;CENTC;Centro comercial Moctezuma;42;Sierras de Granada 9993;2101;5022;(5) 555-3392;(5) 555-7293
14;CHOPS;Chop-suey Chinese;43;Hauptstr. 29;2401;3012;0452-076545;
15;COMMI;Comércio Mineiro;44;Av. dos Lusíadas, 23;301;05432-043;(11) 555-7647;
16;CONSH;Consolidated Holdings;45;Berkeley Gardens 12  Brewery ;1401;WX1 6LT;(71) 555-2282;(71) 555-9199
17;WANDK;Die Wandernde Kuh;46;Adenauerallee 900;112;70563;0711-020361;0711-035428
18;DRACD;Drachenblut Delikatessen;47;Walserweg 21;103;52066;0241-039123;0241-059428
19;DUMON;Du monde entier;48;67, rue des Cinquante Otages;907;44000;40.67.88.88;40.67.89.89
20;EASTC;Eastern Connection;49;35 King George;1401;WX3 6FW;(71) 555-0297;(71) 555-3373
21;ERNSH;Ernst Handel;50;Kirchgasse 6;1801;8010;7675-3425;7675-3426
22;FAMIA;Familia Arquibaldo;51;Rua Orós, 92;301;05442-030;(11) 555-9857;
23;FISSA;FISSA Fabrica Inter. Salchichas S.A.;52;C/ Moralzarzal, 86;603;28034;(91) 555 94 44;(91) 555 55 93
24;FOLIG;Folies gourmandes;53;184, chaussée de Tournai;904;59000;20.16.10.16;20.16.10.17
25;FOLKO;Folk och fä HB;54;Åkergatan 24;1603;S-844 67;0695-34 67 21;
26;FRANR;France restauration;55;54, rue Royale;907;44000;40.32.21.21;40.32.21.20
27;FRANS;Franchi S.p.A.;56;Via Monte Bianco 34;1105;10100;011-4988260;011-4988261
28;FRANK;Frankenversand;57;Berliner Platz 43;110;80805;089-0877310;089-0877451
29;FURIB;Furia Bacalhau e Frutos do Mar;58;Jardim das rosas n. 32;2301;1675;(1) 354-2534;(1) 354-2535
30;GALED;Galería del gastrónomo;59;Rambla de Cataluña, 23;602;8022;(93) 203 4560;(93) 203 4561
31;GODOS;Godos Cocina Típica;60;C/ Romero, 33;604;41101;(95) 555 82 82;
32;GOURL;Gourmet Lanchonetes;61;Av. Brasil, 442;302;04876-786;(11) 555-9482;
33;GREAL;Great Lakes Food Market;62;2732 Baker Blvd.;710;97403;(503) 555-7555;
34;GROSR;GROSELLA-Restaurante;63;5ª Ave. Los Palos Grandes;2502;1081;(2) 283-2951;(2) 283-3397
35;HANAR;Hanari Carnes;64;Rua do Paço, 67;304;05454-876;(21) 555-0091;(21) 555-8765
36;HILAA;HILARIÓN-Abastos;65;Carrera 22 con Ave. Carlos Soublette #8-35;2504;5022;(5) 555-1340;(5) 555-1948
37;HUNGC;Hungry Coyote Import Store;66;City Center Plaza 516 Main St.;709;97827;(503) 555-6874;(503) 555-2376
38;HUNGO;Hungry Owl All-Night Grocers;67;8 Johnstown Road;2001;;2967 542;2967 3333
39;ISLAT;Island Trading;68;Garden House Crowther Way;1404;PO31 7PJ;(198) 555-8888;
40;KOENE;Königlich Essen;69;Maubelstr. 90;104;14776;0555-09876;
41;LACOR;La corne d'abondance;70;67, avenue de l'Europe;911;78000;30.59.84.10;30.59.85.11
42;LAMAI;La maison d'Asie;71;1 rue Alsace-Lorraine;910;31000;61.77.61.10;61.77.61.11
43;LAUGB;Laughing Bacchus Wine Cellars;72;1900 Oak St.;403;V3F 2K1;(604) 555-3392;(604) 555-7293
44;LAZYK;Lazy K Kountry Store;73;12 Orchestra Terrace;716;99362;(509) 555-7969;(509) 555-6221
45;LEHMS;Lehmanns Marktstand;74;Magazinweg 7;102;60528;069-0245984;069-0245874
46;LETSS;Let's Stop N Shop;75;87 Polk St. Suite 5;714;94117;(415) 555-5938;
47;LILAS;LILA-Supermercado;76;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;2501;3508;(9) 331-6954;(9) 331-7256
48;LINOD;LINO-Delicateses;77;Ave. 5 de Mayo Porlamar;2503;4980;(8) 34-56-12;(8) 34-93-93
49;LONEP;Lonesome Pine Restaurant;78;89 Chiaroscuro Rd.;713;97219;(503) 555-9573;(503) 555-9646
50;MAGAA;Magazzini Alimentari Riuniti;79;Via Ludovico il Moro 22;1103;24100;035-640230;035-640231
51;MAISD;Maison Dewey;80;Rue Joseph-Bens 532;1903;B-1180;(02) 201 24 67;(02) 201 24 68
52;MEREP;Mère Paillarde;81;43 rue St. Laurent;401;H1J 1C3;(514) 555-8054;(514) 555-8055
53;MORGK;Morgenstern Gesundkost;82;Heerstr. 22;108;4179;0342-023176;
54;NORTS;North/South;83;South House 300 Queensbridge;1401;SW7 1RZ;(71) 555-7733;(71) 555-2530
55;OCEAN;Océano Atlántico Ltda.;84;Ing. Gustavo Moncada 8585 Piso 20-A;1701;1010;(1) 135-5333;(1) 135-5535
56;OLDWO;Old World Delicatessen;85;2743 Bering St.;706;99508;(907) 555-7584;(907) 555-2880
57;OTTIK;Ottilies Käseladen;86;Mehrheimerstr. 369;107;50739;0221-0644327;0221-0765721
58;PARIS;Paris spécialités;87;265, boulevard Charonne;901;75012;(1) 42.34.22.66;(1) 42.34.22.77
59;PERIC;Pericles Comidas clásicas;88;Calle Dr. Jorge Cash 321;2101;5033;(5) 552-3745;(5) 545-3745
60;PICCO;Piccolo und mehr;89;Geislweg 14;1802;5020;6562-9722;6562-9723
61;PRINI;Princesa Isabel Vinhos;90;Estrada da saúde n. 58;2301;1756;(1) 356-5634;
62;QUEDE;Que Delícia;91;Rua da Panificadora, 12;304;02389-673;(21) 555-4252;(21) 555-4545
63;QUEEN;Queen Cozinha;92;Alameda dos Canàrios, 891;301;05487-020;(11) 555-1189;
64;QUICK;QUICK-Stop;93;Taucherstraße 10;105;1307;0372-035188;
65;RANCH;Rancho grande;94;Av. del Libertador 900;1701;1010;(1) 123-5555;(1) 123-5556
66;RATTC;Rattlesnake Canyon Grocery;95;2817 Milton Dr.;705;87110;(505) 555-5939;(505) 555-3620
67;REGGC;Reggiani Caseifici;96;Strada Provinciale 124;1104;42100;0522-556721;0522-556722
68;RICAR;Ricardo Adocicados;97;Av. Copacabana, 267;304;02389-890;(21) 555-3412;
69;RICSU;Richter Supermarkt;98;Grenzacherweg 237;2402;1203;0897-034214;
70;ROMEY;Romero y tomillo;99;Gran Vía, 1;603;28001;(91) 745 6200;(91) 745 6210
71;SANTG;Santé Gourmet;100;Erling Skakkes gate 78;1302;4110;07-98 92 35;07-98 92 47
72;SAVEA;Save-a-lot Markets;101;187 Suffolk Ln.;707;83720;(208) 555-8097;
73;SEVES;Seven Seas Imports;102;90 Wadhurst Rd.;1401;OX15 4NB;(71) 555-1717;(71) 555-5646
74;SIMOB;Simons bistro;103;Vinbæltet 34;503;1734;31 12 34 56;31 13 35 57
75;SPECD;Spécialités du monde;104;25, rue Lauriston;901;75016;(1) 47.55.60.10;(1) 47.55.60.20
76;SPLIR;Split Rail Beer & Ale;105;P.O. Box 555;712;82520;(307) 555-4680;(307) 555-6525
77;SUPRD;Suprêmes délices;106;Boulevard Tirou, 255;1902;B-6000;(071) 23 67 22 20;(071) 23 67 22 21
78;THEBI;The Big Cheese;107;89 Jefferson Way Suite 2;713;97201;(503) 555-3612;
79;THECR;The Cracker Box;108;55 Grizzly Peak Rd.;708;59801;(406) 555-5834;(406) 555-8083
80;TOMSP;Toms Spezialitäten;109;Luisenstr. 48;111;44087;0251-031259;0251-035695
81;TORTU;Tortuga Restaurante;110;Avda. Azteca 123;2101;5033;(5) 555-2933;
82;TRADH;Tradição Hipermercados;111;Av. Inês de Castro, 414;301;05634-030;(11) 555-2167;(11) 555-2168
83;TRAIH;Trail's Head Gourmet Provisioners;112;722 DaVinci Blvd.;711;98034;(206) 555-8257;(206) 555-2174
84;VAFFE;Vaffeljernet;113;Smagsløget 45;502;8200;86 21 32 43;86 22 33 44
85;VICTE;Victuailles en stock;114;2, rue du Commerce;905;69004;78.32.54.86;78.32.54.87
86;VINET;Vins et alcools Chevalier;115;59 rue de l'Abbaye;908;51100;26.47.15.10;26.47.15.11
87;WARTH;Wartian Herkku;116;Torikatu 38;803;90110;981-443655;981-443655
88;WELLI;Wellington Importadora;117;Rua do Mercado, 12;303;08737-363;(14) 555-8122;
89;WHITC;White Clover Markets;118;305 - 14th Ave. S. Suite 3B;715;98128;(206) 555-4112;(206) 555-4115
90;WILMK;Wilman Kala;119;Keskuskatu 45;802;21240;90-224 8858;90-224 8858
91;WOLZA;Wolski  Zajazd;120;ul. Filtrowa 68;2201;01-012;(26) 642-7012;(26) 642-7012
